cell_type,0
basal epithelial cell of tracheobronchial tree,8690
duct epithelial cell,8658
epithelial cell,9788
epithelial cell of large intestine,8445
epithelial cell of proximal tubule,8452
kidney collecting duct epithelial cell,9261
kidney distal convoluted tubule epithelial cell,9168
kidney loop of Henle ascending limb epithelial cell,9267
kidney loop of Henle thick ascending limb epithelial cell,9201
kidney proximal convoluted tubule epithelial cell,9013
kidney proximal straight tubule epithelial cell,9088
luminal epithelial cell of mammary gland,8693
ovarian surface epithelial cell,9904
